product_name,category,material,size,rating,reviews,price
Terracotta Vase,Pottery,Terracotta,Medium,4.5,120,650
Clay Flower Pot,Pottery,Clay,Small,4.2,80,350
Ceramic Vase,Pottery,Ceramic,Large,4.6,150,900
Traditional Diya Set,Pottery,Clay,Small,4.4,100,300
Wooden Wall Decor,Home Decor,Wood,Medium,4.3,90,800
Wooden Box,Handicraft,Wood,Small,4.5,110,550
Cotton Handbag,Bag,Cotton,Medium,4.1,75,600
Jute Bag,Bag,Jute,Medium,4.4,140,750
Handmade Necklace,Jewellery,Metal,Small,4.6,180,500
Beaded Necklace,Jewellery,Beads,Small,4.3,95,450
Traditional Painting,Painting,Canvas,Medium,4.7,200,1200
Handmade Painting,Painting,Canvas,Large,4.8,250,1800
Bamboo Basket,Handicraft,Bamboo,Medium,4.3,130,400
Handwoven Basket,Handicraft,Cane,Large,4.5,160,700
Embroidered Cushion,Textile,Cotton,Medium,4.4,100,550
Handmade Shawl,Textile,Wool,Large,4.7,190,1500
Clay Sculpture,Handicraft,Clay,Medium,4.5,135,850
Wooden Sculpture,Handicraft,Wood,Large,4.6,145,1300
Terracotta Pot,Pottery,Terracotta,Large,4.3,125,750
Ceramic Bowl,Pottery,Ceramic,Medium,4.4,105,500
Terracotta Vase,Pottery,Terracotta,Medium,4.5,120,650
Clay Flower Pot,Pottery,Clay,Small,4.2,80,350
Ceramic Vase,Pottery,Ceramic,Large,4.6,150,900
Traditional Diya Set,Pottery,Clay,Small,4.4,100,300
Wooden Wall Decor,Home Decor,Wood,Medium,4.3,90,800
